Trend = -89.50 degrees from North in Clockwise direction Plunge = 0.98degrees  A=  9° |   N
Trend = -89.42 degrees from North in Clockwise direction Plunge = 1.27degrees  A=  9° |   N
Trend = -89.64 degrees from North in Clockwise direction Plunge = 1.17degrees  A=  9° |   N
Trend = -89.71 degrees from North in Clockwise direction Plunge = 0.77degrees  A=  9° |   N
Trend = -89.88 degrees from North in Clockwise direction Plunge = 1.11degrees  A=  9° |   N
Trend = 89.91 degrees from North in Clockwise direction Plunge = 1.11degrees  A=  9° |   N
Trend = 89.94 degrees from North in Clockwise direction Plunge = 1.46degrees  A=  9° |   N
Trend = 89.92 degrees from North in Clockwise direction Plunge = 0.89degrees  A=  9° |   N
Trend = -89.46 degrees from North in Clockwise direction Plunge = 1.06degrees  A=  9° |   N
Trend = -89.43 degrees from North in Clockwise direction Plunge = 0.36degrees  A=  9° |   N
Trend = -89.92 degrees from North in Clockwise direction Plunge = 1.22degrees  A=  9° |   N
Trend = -89.51 degrees from North in Clockwise direction Plunge = 0.84degrees  A=  9° |   N
Trend = -89.52 degrees from North in Clockwise direction Plunge = 0.78degrees  A=  9° |   N
Trend = -89.71 degrees from North in Clockwise direction Plunge = 1.05degrees  A=  9° |   N
Trend = -89.53 degrees from North in Clockwise direction Plunge = 0.95degrees  A=  9° |   N
Trend = -89.52 degrees from North in Clockwise direction Plunge = 0.96degrees  A=  9° |   N
Trend = -89.45 degrees from North in Clockwise direction Plunge = 1.04degrees  A=  9° |   N
Trend = -89.64 degrees from North in Clockwise direction Plunge = 1.38degrees  A=  9° |   N
Trend = -89.56 degrees from North in Clockwise direction Plunge = 1.24degrees  A=  9° |   N
Trend = -89.42 degrees from North in Clockwise direction Plunge = 1.07degrees  A=  9° |   N
Trend = -89.47 degrees from North in Clockwise direction Plunge = 0.64degrees  A=  9° |   N
Trend = -89.20 degrees from North in Clockwise direction Plunge = 0.82degrees  A=  9° |   N
Trend = -89.40 degrees from North in Clockwise direction Plunge = 0.78degrees  A=  3° |   N
Trend = -89.38 degrees from North in Clockwise direction Plunge = 0.63degrees  A= 13° |   N
Trend = -89.22 degrees from North in Clockwise direction Plunge = 1.36degrees  A=342° | NNW
Trend = -89.47 degrees from North in Clockwise direction Plunge = 0.49degrees  A=  8° |   N
Trend = -89.52 degrees from North in Clockwise direction Plunge = 0.84degrees  A=  9° |   N
Trend = -89.39 degrees from North in Clockwise direction Plunge = 0.67degrees  A=  9° |   N
Trend = -89.24 degrees from North in Clockwise direction Plunge = 1.13degrees  A=  9° |   N
Trend = -89.44 degrees from North in Clockwise direction Plunge = 0.90degrees  A=  9° |   N
Trend = -89.31 degrees from North in Clockwise direction Plunge = 1.02degrees  A=  9° |   N
Trend = -87.63 degrees from North in Clockwise direction Plunge = 0.25degrees  A=338° | NNW
Trend = 75.81 degrees from North in Clockwise direction Plunge = 12.94degrees  A=351° | NNW
Trend = 75.00 degrees from North in Clockwise direction Plunge = 13.44degrees  A=354° | NNW
Trend = 74.26 degrees from North in Clockwise direction Plunge = 13.12degrees  A=354° | NNW
Trend = 74.21 degrees from North in Clockwise direction Plunge = 13.90degrees  A=358° | NNW
Trend = 70.63 degrees from North in Clockwise direction Plunge = 14.30degrees  A=  0° |   N
Trend = 87.00 degrees from North in Clockwise direction Plunge = 12.58degrees  A=350° | NNW
Trend = 73.14 degrees from North in Clockwise direction Plunge = 14.22degrees  A=358° | NNW
Trend = 73.33 degrees from North in Clockwise direction Plunge = 13.38degrees  A=  0° |   N
Trend = 72.00 degrees from North in Clockwise direction Plunge = 13.54degrees  A=  0° |   N
Trend = 71.08 degrees from North in Clockwise direction Plunge = 13.99degrees  A=  0° |   N
Trend = 71.76 degrees from North in Clockwise direction Plunge = 13.50degrees  A=  0° |   N
Trend = 76.21 degrees from North in Clockwise direction Plunge = 12.62degrees  A=353° | NNW
Trend = 81.18 degrees from North in Clockwise direction Plunge = 13.63degrees  A=351° | NNW
Trend = 77.58 degrees from North in Clockwise direction Plunge = 13.56degrees  A=353° | NNW
Trend = 78.61 degrees from North in Clockwise direction Plunge = 13.73degrees  A=353° | NNW
Trend = 79.54 degrees from North in Clockwise direction Plunge = 12.82degrees  A=353° | NNW
Trend = 77.52 degrees from North in Clockwise direction Plunge = 12.67degrees  A=354° | NNW
Trend = 79.27 degrees from North in Clockwise direction Plunge = 13.11degrees  A=353° | NNW
Trend = 79.63 degrees from North in Clockwise direction Plunge = 13.35degrees  A=355° | NNW
Trend = 75.30 degrees from North in Clockwise direction Plunge = 12.80degrees  A=355° | NNW
Trend = 77.77 degrees from North in Clockwise direction Plunge = 13.04degrees  A=355° | NNW
Trend = 76.89 degrees from North in Clockwise direction Plunge = 13.19degrees  A=354° | NNW
Trend = 77.51 degrees from North in Clockwise direction Plunge = 12.84degrees  A=351° | NNW
Trend = -84.47 degrees from North in Clockwise direction Plunge = 1.99degrees  A=337° |  NW
Trend = -88.37 degrees from North in Clockwise direction Plunge = 0.08degrees  A=328° |  NW
